id;numero;fecha_emision;fecha_vencimiento;base_imponible;iva;total;estado;notas;servicio_id;cliente_id
1;belabor petal table;2026-05-17;2026-05-17;7978.42;1587.85;18508.05;EMITIDA;beret wonderfully;1;1
2;ack ick;2026-05-18;2026-05-18;9936.25;21438.03;15117.71;PAGADA;petal chilly while;2;2
3;opposite smooth;2026-05-17;2026-05-17;12813.54;25061.59;29018.36;CANCELADA;accessorise er;3;3
4;tasty;2026-05-18;2026-05-18;10648.24;14491.56;21174.79;EMITIDA;wildly cuddly;4;4
5;decouple unfortunately;2026-05-17;2026-05-17;9930.01;15707.29;9874.19;BORRADOR;uh-huh that whether;5;5
6;ouch;2026-05-18;2026-05-17;7198.26;2476.61;13936.8;CANCELADA;sternly;6;6
7;ah among;2026-05-18;2026-05-17;28785.06;2942.93;6159.53;BORRADOR;spirit;7;7
8;naughty hotfoot;2026-05-17;2026-05-18;5656.94;5794.8;2374.29;BORRADOR;past ugh what;8;8
9;gosh commodity;2026-05-17;2026-05-18;19495.97;6528.58;21695.25;CANCELADA;geez standard deck;9;9
10;wherever aw;2026-05-17;2026-05-18;11551.12;7406.45;7897.09;BORRADOR;including;10;10
11;round knowledgeably sweetly;2026-05-17;2026-05-18;30995.58;28646.72;12971.19;CANCELADA;colossal;11;11
12;worth designation;2026-05-18;2026-05-18;1640.33;31261.2;1283.33;PAGADA;toaster scruple vibration;12;12
13;daily;2026-05-17;2026-05-17;10570.55;30485.6;14100.33;BORRADOR;instruction faraway;13;13
14;outside;2026-05-17;2026-05-18;8812.67;19326.09;22777.02;EMITIDA;fictionalize drowse since;14;14
15;hm;2026-05-17;2026-05-17;9101.62;3457.21;1306.83;BORRADOR;instead;15;15
16;and parsnip;2026-05-17;2026-05-17;24182.46;31827.3;14392.99;EMITIDA;intensely yum;16;16
17;competent dash meager;2026-05-17;2026-05-17;13019.58;29620.42;24382.71;BORRADOR;conceptualize blaring;17;17
18;thorn;2026-05-18;2026-05-18;32731.67;19375.33;40.22;BORRADOR;these instead following;18;18
19;bootleg;2026-05-18;2026-05-18;15864.09;3835.11;30830.47;EMITIDA;flawless accelerator a;19;19
20;other;2026-05-17;2026-05-17;11762.6;16005.96;20058.1;BORRADOR;inject;20;20
21;urgently;2026-05-17;2026-05-17;11028.97;19519.13;10070.37;BORRADOR;editor;21;21
22;writ;2026-05-18;2026-05-17;3707.55;24260.93;14633.57;CANCELADA;wherever;22;22
23;sans gee;2026-05-17;2026-05-17;31297.17;26270.1;1859.62;BORRADOR;alongside;23;23
24;heavily however;2026-05-18;2026-05-18;20030.1;25683.4;9499.76;PAGADA;on;24;24
25;handsome meh on;2026-05-18;2026-05-17;25165.99;18349.86;12319.27;EMITIDA;consequently extra-large;25;25
26;in-joke;2026-05-17;2026-05-18;14817.27;22727.05;31864.15;EMITIDA;derby;26;26
27;sauerkraut lined rue;2026-05-17;2026-05-18;31692.9;921.36;5112.16;EMITIDA;after;27;27
28;a consequently depot;2026-05-17;2026-05-18;17997.18;9594.38;30979.42;CANCELADA;investigate warmhearted;28;28
29;worth;2026-05-17;2026-05-18;20258.47;14936.89;578.31;PAGADA;shampoo requite;29;29
30;beneath;2026-05-18;2026-05-17;15952.47;26398.65;4146.61;CANCELADA;voluminous;30;30
