id;zona;tipo_servicio;precio_first_hora;precio_hora_adicional;minimo_horas;precio_por_km;activa
1;FUERA_COMUNIDAD;HOGAR;11800.76;20513.9;27030;12332.78;true
2;COMUNIDAD_MADRID;OFICINA;3341.99;17999.81;3301;9348.18;true
3;MADRID_CAPITAL;CHALET;4678.41;23293.46;150;31912.9;false
4;MADRID_CAPITAL;POST_MUDANZA;19905.22;30280.39;29783;4950.1;true
5;MADRID_CAPITAL;OFICINA;4472.74;32381.32;2689;21147.72;true
6;COMUNIDAD_MADRID;POST_OBRA;10252.88;4690.72;15581;13906.41;true
7;MADRID_CAPITAL;EVENTO;18004.8;30566.54;3645;26680.77;true
8;COMUNIDAD_MADRID;POST_OBRA;18397.37;9539.7;31595;30598.74;true
9;FUERA_COMUNIDAD;EVENTO;7181.07;17030.28;32234;20528.01;false
10;COMUNIDAD_MADRID;POST_MUDANZA;17411.36;898.95;29538;4816.01;true
11;MADRID_CAPITAL;CHALET;13630.31;23288.82;2429;21862.14;false
12;FUERA_COMUNIDAD;POST_OBRA;438.76;20868.65;20821;12547.22;true
13;MADRID_CAPITAL;CHALET;31931.92;6157.42;39;21547.42;true
14;MADRID_CAPITAL;POST_MUDANZA;21456.03;11277.64;31724;19768.54;false
15;COMUNIDAD_MADRID;POST_MUDANZA;24142.67;22931.46;5337;829.58;false
16;MADRID_CAPITAL;HOGAR;17564.18;30864.54;23464;9302.06;false
17;COMUNIDAD_MADRID;POST_MUDANZA;31174.36;2152.21;24510;16916.93;true
18;MADRID_CAPITAL;CHALET;876.16;18773.5;6845;1222.61;true
19;MADRID_CAPITAL;EVENTO;11788.29;13207.43;4501;498.94;false
20;COMUNIDAD_MADRID;HOGAR;27398.41;630.14;13187;6157.65;false
21;MADRID_CAPITAL;EVENTO;20389.93;12122.22;17343;19335.35;false
22;FUERA_COMUNIDAD;EVENTO;25633.11;7448.26;11633;13900.04;false
23;COMUNIDAD_MADRID;POST_MUDANZA;31397.24;16692.86;8850;7256.67;true
24;MADRID_CAPITAL;HOGAR;22400.52;18685.16;18424;26122.14;false
25;MADRID_CAPITAL;HOGAR;27564.89;7786.58;19297;26233.44;true
26;FUERA_COMUNIDAD;CHALET;5773.18;21015.63;3205;26658.63;true
27;COMUNIDAD_MADRID;OFICINA;15010.95;11886.57;1222;2895.38;true
28;MADRID_CAPITAL;OFICINA;20928.73;27565.62;23017;5451.64;true
29;FUERA_COMUNIDAD;HOGAR;2876.62;1972;24674;30361.31;false
30;MADRID_CAPITAL;CHALET;1047.25;29423.95;4302;7532.37;false
